canonical_player_id,gsis_id,player_name,position,college,draft_round,overall_pick,draft_team,coverage_classification,standalone_card_renderable,source_lineage_complete,historical_model_inputs_reproducible,nfl_outcome_rows_available,gaps_blocking_reconstruction
qb-bryce-young,00-0039150,Bryce Young,QB,Alabama,1,1,CAR,reference_only,False,False,no,2,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
qb-c-j-stroud,00-0039163,C.J. Stroud,QB,Ohio St.,1,2,HOU,reference_only,False,False,no,2,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
qb-anthony-richardson,00-0039164,Anthony Richardson,QB,Florida,1,4,IND,reference_only,False,False,no,2,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
rb-bijan-robinson,00-0038542,Bijan Robinson,RB,Texas,1,8,ATL,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
rb-jahmyr-gibbs,00-0039139,Jahmyr Gibbs,RB,Alabama,1,12,DET,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
wr-jaxon-smith-njigba,00-0038543,Jaxon Smith-Njigba,WR,Ohio St.,1,20,SEA,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
wr-quentin-johnston,00-0038544,Quentin Johnston,WR,TCU,1,21,LAC,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
wr-zay-flowers,00-0039064,Zay Flowers,WR,Boston Col.,1,22,BAL,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
wr-jordan-addison,00-0038994,Jordan Addison,WR,USC,1,23,MIN,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
te-dalton-kincaid,00-0038933,Dalton Kincaid,TE,Utah,1,25,BUF,reference_only,False,True,partial,2,Appears only in reference/outcome rows; no model-input coverage.
qb-will-levis,00-0039152,Will Levis,QB,Kentucky,2,33,TEN,reference_only,False,False,no,2,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
te-sam-laporta,00-0039065,Sam LaPorta,TE,Iowa,2,34,DET,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
te-michael-mayer,00-0039066,Michael Mayer,TE,Notre Dame,2,35,LVR,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-jonathan-mingo,00-0039062,Jonathan Mingo,WR,Mississippi,2,39,CAR,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
te-luke-musgrave,00-0039144,Luke Musgrave,TE,Oregon St.,2,42,GNB,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-jayden-reed,00-0039146,Jayden Reed,WR,Michigan St.,2,50,GNB,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
rb-zach-charbonnet,00-0039165,Zach Charbonnet,RB,UCLA,2,52,SEA,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-rashee-rice,00-0039067,Rashee Rice,WR,SMU,2,55,KAN,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
te-luke-schoonmaker,00-0038547,Luke Schoonmaker,TE,Michigan,2,58,DAL,reference_only,False,False,partial,2,Appears only in reference/outcome rows; no model-input coverage. | TE reference population files exist but are empty.
te-brenton-strange,00-0038935,Brenton Strange,TE,Penn St.,2,61,JAX,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-marvin-mims,00-0038976,Marvin Mims,WR,Oklahoma,2,63,DEN,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
qb-hendon-hooker,00-0038550,Hendon Hooker,QB,Tennessee,3,68,DET,reference_only,False,False,no,1,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
wr-tank-dell,00-0038977,Tank Dell,WR,Houston,3,69,HOU,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
rb-kendre-miller,00-0038551,Kendre Miller,RB,TCU,3,71,NOR,reference_only,False,False,no,2,Appears only in reference/outcome rows; no model-input coverage.
wr-jalin-hyatt,00-0038938,Jalin Hyatt,WR,Tennessee,3,73,NYG,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-cedric-tillman,00-0038979,Cedric Tillman,WR,Tennessee,3,74,CLE,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
te-tucker-kraft,00-0038996,Tucker Kraft,TE,South Dakota St.,3,78,GNB,reference_only,False,False,partial,2,Appears only in reference/outcome rows; no model-input coverage. | TE reference population files exist but are empty.
wr-josh-downs,00-0038997,Josh Downs,WR,North Carolina,3,79,IND,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
rb-tyjae-spears,00-0039032,Tyjae Spears,RB,Tulane,3,81,TEN,reference_only,False,False,no,2,Appears only in reference/outcome rows; no model-input coverage.
rb-devon-achane,00-0039040,De'Von Achane,RB,Texas A&M,3,84,MIA,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
rb-tank-bigsby,00-0038555,Tank Bigsby,RB,Auburn,3,88,JAX,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
te-darnell-washington,00-0038558,Darnell Washington,TE,Georgia,3,93,PIT,reference_only,False,False,partial,2,Appears only in reference/outcome rows; no model-input coverage. | TE reference population files exist but are empty.
wr-michael-wilson,00-0038559,Michael Wilson,WR,Stanford,3,94,ARI,governed_profile_available,True,False,yes_with_hindsight_contamination,2,2023 alpha inputs are manual_historical_seed rows: draft-capital proxy holds actual draft outcome and several evidence strings contain post-draft NFL information (hindsight contamination). | No verifiable per-stat source lineage on production/context seeds.
wr-tre-tucker,00-0038563,Tre Tucker,WR,Cincinnati,3,100,LVR,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
te-cameron-latu,00-0038564,Cameron Latu,TE,Alabama,3,101,SFO,reference_only,False,True,partial,0,Appears only in reference/outcome rows; no model-input coverage.
rb-roschon-johnson,00-0039021,Roschon Johnson,RB,Texas,4,115,CHI,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
wr-derius-davis,00-0038573,Derius Davis,WR,TCU,4,125,LAC,partial_reconstructable,False,True,partial,2,No standalone card or alpha-export row. | Final college season (2022) absent from governed reference populations (populations end at 2021).
qb-jake-haener,00-0038998,Jake Haener,QB,Fresno St.,4,127,NOR,reference_only,False,False,no,1,Appears only in reference/outcome rows; no model-input coverage. | SPORQ table has no QB coverage; no in-repo QB athletic layer.
