player_id,player_name,position,pre_draft_alpha,post_draft_alpha,post_draft_delta,draft_round,draft_pick,team,talent_confirmation_signal,opportunity_insulation_signal,short_term_fantasy_runway,source_profile,source_status,delta_reason_codes,translator_tags,remaining_risks,team_context_found,team_context_tags,positive_team_context_tags,risk_team_context_tags,team_context_notes,team_context_source_status,team_context_team_code,combined_context_tags,combined_risk_tags
rb-jeremiyah-love,Jeremiyah Love,RB,80.1,89.6,9.5,1,3,TBD,elite,elite,immediate,round1,operator_seeded,talent_confirmation:top5_skill_capital|opportunity_insulation:signal_bonus,top5_skill_capital|rare_rb_premium_capital|elite_opportunity_insulation|immediate_workload_signal,Operator-provided pick/team facts still need canonical draft_results reconciliation.|Top-5 RB outcomes remain sensitive to offensive line and coaching continuity.,False,,,,team_unknown_or_tbd_no_teamstate_context,operator_seeded_unknown,TBD,top5_skill_capital|rare_rb_premium_capital|elite_opportunity_insulation|immediate_workload_signal,Operator-provided pick/team facts still need canonical draft_results reconciliation.|Top-5 RB outcomes remain sensitive to offensive line and coaching continuity.
wr-kc-concepcion,KC Concepcion,WR,71.9,77.9,6.0,1,24,Browns,elite,strong,strong,round1,operator_seeded,talent_confirmation:round1_market_confirmation|talent_confirmation:model_wr1_validation|opportunity_insulation:signal_bonus|risk:landing_spot_volatility|risk:opportunity_insulation_cap,round1_market_confirmation|model_wr1_validation|elite_separator_signal|yac_return_value_profile|landing_spot_volatility,Landing-spot offensive volatility can disrupt early consistency.|Team-level context assumptions should be rechecked once canonical artifacts are locked.,True,concentrated_wr_investment|rookie_wr_priority_signal|browns_offensive_volatility|target_competition_between_rookies|qb_environment_uncertainty,concentrated_wr_investment|rookie_wr_priority_signal,browns_offensive_volatility|target_competition_between_rookies|qb_environment_uncertainty,team_context_joined:CLE,operator_seeded_unknown,CLE,round1_market_confirmation|model_wr1_validation|elite_separator_signal|yac_return_value_profile|landing_spot_volatility|concentrated_wr_investment|rookie_wr_priority_signal|browns_offensive_volatility|target_competition_between_rookies|qb_environment_uncertainty,Landing-spot offensive volatility can disrupt early consistency.|Team-level context assumptions should be rechecked once canonical artifacts are locked.|browns_offensive_volatility|target_competition_between_rookies|qb_environment_uncertainty
wr-makai-lemon,Makai Lemon,WR,68.9,76.4,7.5,1,20,Eagles,strong,strong,delayed,round1,operator_seeded,talent_confirmation:round1_wr_capital|talent_confirmation:trade_up_conviction|opportunity_insulation:signal_bonus,round1_wr_capital|trade_up_conviction|depth_chart_volume_cap|high_efficiency_environment|delayed_volume_path,Short-term target share ceiling behind A.J. Brown and DeVonta Smith.|Year 1 volume may lag even in a high-efficiency offense.,True,high_efficiency_environment|depth_chart_volume_cap|target_concentration_ahead,high_efficiency_environment,depth_chart_volume_cap|target_concentration_ahead,team_context_joined:PHI,operator_seeded_unknown,PHI,round1_wr_capital|trade_up_conviction|depth_chart_volume_cap|high_efficiency_environment|delayed_volume_path|target_concentration_ahead,Short-term target share ceiling behind A.J. Brown and DeVonta Smith.|Year 1 volume may lag even in a high-efficiency offense.|depth_chart_volume_cap|target_concentration_ahead
wr-carnell-tate,Carnell Tate,WR,66.4,74.4,8.0,1,4,Titans,strong,elite,strong,round1,operator_seeded,talent_confirmation:top5_skill_capital|talent_confirmation:class_inflation_adjustment|opportunity_insulation:signal_bonus,top5_skill_capital|premium_wr_investment|elite_opportunity_insulation|class_inflation_adjustment_candidate|market_conviction_not_equal_talent_certainty|wr1_depth_chart_path,Class-level draft capital inflation could overstate pure talent certainty relative to historical baselines.|Environment assumptions should remain provisional until canonical draft/team artifacts are finalized.,True,wr1_depth_chart_path|backfield_opportunity_watch|young_qb_development_dependency|offense_environment_uncertainty,wr1_depth_chart_path|backfield_opportunity_watch,young_qb_development_dependency|offense_environment_uncertainty,team_context_joined:TEN,operator_seeded_unknown,TEN,top5_skill_capital|premium_wr_investment|elite_opportunity_insulation|class_inflation_adjustment_candidate|market_conviction_not_equal_talent_certainty|wr1_depth_chart_path|backfield_opportunity_watch|young_qb_development_dependency|offense_environment_uncertainty,Class-level draft capital inflation could overstate pure talent certainty relative to historical baselines.|Environment assumptions should remain provisional until canonical draft/team artifacts are finalized.|young_qb_development_dependency|offense_environment_uncertainty
wr-jordyn-tyson,Jordyn Tyson,WR,67.7,74.4,6.7,1,8,TBD,strong,strong,strong,round1,operator_seeded,talent_confirmation:top10_skill_capital|opportunity_insulation:signal_bonus,top10_skill_capital|premium_wr_investment|strong_role_insulation,Unknown finalized team context may alter immediate target competition.|Operator-provided draft facts still need canonical reconciliation.,False,,,,team_unknown_or_tbd_no_teamstate_context,operator_seeded_unknown,TBD,top10_skill_capital|premium_wr_investment|strong_role_insulation,Unknown finalized team context may alter immediate target competition.|Operator-provided draft facts still need canonical reconciliation.
wr-denzel-boston,Denzel Boston,WR,67.6,74.2,6.6,2,39,Browns,moderate,moderate,strong,day2,operator_seeded,talent_confirmation:early_day2_capital|talent_confirmation:round2_skill_capital|opportunity_insulation:signal_bonus|risk:target_room_competition_watch|risk:year1_volume_uncertainty,day2_capital|round2_capital|early_day2_capital|round2_skill_capital|round2_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_moderate|browns_double_wr_investment|kcc_target_competition_signal,Browns target competition and deployment context can materially shift early fantasy runway.|Role sequencing may vary if multiple pass-catcher investments compress Year 1 volume.,True,concentrated_wr_investment|rookie_wr_priority_signal|browns_offensive_volatility|target_competition_between_rookies|qb_environment_uncertainty,concentrated_wr_investment|rookie_wr_priority_signal,browns_offensive_volatility|target_competition_between_rookies|qb_environment_uncertainty,team_context_joined:CLE,operator_seeded_unknown,CLE,day2_capital|round2_capital|early_day2_capital|round2_skill_capital|round2_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_moderate|browns_double_wr_investment|kcc_target_competition_signal|concentrated_wr_investment|rookie_wr_priority_signal|browns_offensive_volatility|target_competition_between_rookies|qb_environment_uncertainty,Browns target competition and deployment context can materially shift early fantasy runway.|Role sequencing may vary if multiple pass-catcher investments compress Year 1 volume.|browns_offensive_volatility|target_competition_between_rookies|qb_environment_uncertainty
te-kenyon-sadiq,Kenyon Sadiq,TE,65.3,71.0,5.7,1,16,TBD,strong,strong,delayed,round1,operator_seeded,talent_confirmation:round1_te_capital|opportunity_insulation:signal_bonus,round1_te_capital|premium_te_insulation|role_translation_watch,TE usage translation can lag despite high draft investment.|Year 1 route share and red-zone role remain uncertain without canonical team deployment data.,False,,,,team_unknown_or_tbd_no_teamstate_context,operator_seeded_unknown,TBD,round1_te_capital|premium_te_insulation|role_translation_watch,TE usage translation can lag despite high draft investment.|Year 1 route share and red-zone role remain uncertain without canonical team deployment data.
qb-drew-allar,Drew Allar,QB,66.8,68.8,2.0,3,76,Steelers,mixed,limited,delayed,day2,operator_seeded,talent_confirmation:round3_skill_capital|talent_confirmation:round3_qb_capital|opportunity_insulation:signal_bonus|risk:developmental_qb_capital|risk:opportunity_insulation_cap,day2_capital|round3_capital|round3_skill_capital|round3_qb_capital|developmental_qb_capital|delayed_start_path|qb_room_context_required|steelers_qb_room_watch|role_path_review|opportunity_insulation_limited,Delayed start trajectory may suppress early fantasy utility.|Steelers QB-room structure could constrain immediate role access.,True,organizational_development_path|qb_room_uncertainty|steelers_wr_room_watch|delayed_start_path,organizational_development_path,qb_room_uncertainty|steelers_wr_room_watch|delayed_start_path,team_context_joined:PIT,operator_seeded_unknown,PIT,day2_capital|round3_capital|round3_skill_capital|round3_qb_capital|developmental_qb_capital|delayed_start_path|qb_room_context_required|steelers_qb_room_watch|role_path_review|opportunity_insulation_limited|organizational_development_path|qb_room_uncertainty|steelers_wr_room_watch,Delayed start trajectory may suppress early fantasy utility.|Steelers QB-room structure could constrain immediate role access.|qb_room_uncertainty|steelers_wr_room_watch|delayed_start_path
wr-omar-cooper-jr,Omar Cooper Jr.,WR,61.3,68.4,7.1,1,30,Jets,strong,strong,strong,round1,operator_seeded,talent_confirmation:late_round1_wr_capital|talent_confirmation:fifth_year_option_signal|talent_confirmation:trade_up_conviction|opportunity_insulation:signal_bonus,late_round1_wr_capital|fifth_year_option_signal|trade_up_conviction|role_path_review,Role pathway still requires depth-chart and deployment confirmation.|Late Round 1 hits have wider outcome bands than top-half selections.,True,early_round_skill_investment|volume_rebound_path|offensive_stability_watch|target_competition_cluster,early_round_skill_investment|volume_rebound_path,offensive_stability_watch|target_competition_cluster,team_context_joined:NYJ,operator_seeded_unknown,NYJ,late_round1_wr_capital|fifth_year_option_signal|trade_up_conviction|role_path_review|early_round_skill_investment|volume_rebound_path|offensive_stability_watch|target_competition_cluster,Role pathway still requires depth-chart and deployment confirmation.|Late Round 1 hits have wider outcome bands than top-half selections.|offensive_stability_watch|target_competition_cluster
te-eli-stowers,Eli Stowers,TE,64.7,67.7,3.0,2,54,Eagles,moderate,moderate,delayed,day2,operator_seeded,talent_confirmation:round2_skill_capital|talent_confirmation:day2_te_cluster|opportunity_insulation:signal_bonus|risk:delayed_te_translation_watch|risk:opportunity_insulation_cap,day2_capital|round2_capital|round2_skill_capital|round2_te_capital|day2_te_cluster|te_market_push|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_moderate,Tight end transition often produces slower Year 1 fantasy translation.|Role definition inside the Eagles pass game can suppress immediate target share.,True,high_efficiency_environment|depth_chart_volume_cap|target_concentration_ahead,high_efficiency_environment,depth_chart_volume_cap|target_concentration_ahead,team_context_joined:PHI,operator_seeded_unknown,PHI,day2_capital|round2_capital|round2_skill_capital|round2_te_capital|day2_te_cluster|te_market_push|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_moderate|high_efficiency_environment|depth_chart_volume_cap|target_concentration_ahead,Tight end transition often produces slower Year 1 fantasy translation.|Role definition inside the Eagles pass game can suppress immediate target share.|depth_chart_volume_cap|target_concentration_ahead
wr-zachariah-branch,Zachariah Branch,WR,65.0,64.2,-0.8,3,79,Falcons,strong,limited,strong,day2,operator_seeded,talent_confirmation:round3_skill_capital|opportunity_insulation:signal_bonus|risk:target_room_competition_watch|risk:year1_volume_uncertainty,day2_capital|round3_capital|round3_skill_capital|round3_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_limited,"Usage may be specialized early, creating volatile week-to-week fantasy reliability.|Round 3 insulation can erode quickly if role translation stalls.",True,play_action_efficiency_environment|red_zone_opportunity_watch|volume_balance_risk|target_concentration_ahead,play_action_efficiency_environment|red_zone_opportunity_watch,volume_balance_risk|target_concentration_ahead,team_context_joined:ATL,operator_seeded_unknown,ATL,day2_capital|round3_capital|round3_skill_capital|round3_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_limited|play_action_efficiency_environment|red_zone_opportunity_watch|volume_balance_risk|target_concentration_ahead,"Usage may be specialized early, creating volatile week-to-week fantasy reliability.|Round 3 insulation can erode quickly if role translation stalls.|volume_balance_risk|target_concentration_ahead"
te-sam-roush,Sam Roush,TE,58.9,60.0,1.1,3,69,Bears,mixed,limited,delayed,day2,operator_seeded,talent_confirmation:round3_skill_capital|opportunity_insulation:signal_bonus|risk:delayed_te_translation_watch,day2_capital|round3_capital|round3_skill_capital|round3_te_capital|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_limited,Early deployment may be rotational with modest target depth.|TE translation variance can delay reliable fantasy returns.,True,young_qb_growth_environment|target_hierarchy_uncertainty|role_competition_risk,young_qb_growth_environment,target_hierarchy_uncertainty|role_competition_risk,team_context_joined:CHI,operator_seeded_unknown,CHI,day2_capital|round3_capital|round3_skill_capital|round3_te_capital|delayed_te_translation_watch|role_translation_watch|role_path_review|opportunity_insulation_limited|young_qb_growth_environment|target_hierarchy_uncertainty|role_competition_risk,Early deployment may be rotational with modest target depth.|TE translation variance can delay reliable fantasy returns.|target_hierarchy_uncertainty|role_competition_risk
wr-germie-bernard,Germie Bernard,WR,55.5,57.1,1.6,2,47,Steelers,moderate,moderate,strong,day2,operator_seeded,talent_confirmation:round2_skill_capital|opportunity_insulation:signal_bonus|risk:target_room_competition_watch|risk:year1_volume_uncertainty,day2_capital|round2_capital|round2_skill_capital|round2_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_moderate|steelers_wr_room_watch,Steelers WR depth and role assignment can delay stable weekly volume.|Day 2 capital confirms opportunity but does not eliminate Year 1 usage volatility.,True,organizational_development_path|qb_room_uncertainty|steelers_wr_room_watch|delayed_start_path,organizational_development_path,qb_room_uncertainty|steelers_wr_room_watch|delayed_start_path,team_context_joined:PIT,operator_seeded_unknown,PIT,day2_capital|round2_capital|round2_skill_capital|round2_wr_capital|target_room_competition_watch|year1_volume_uncertainty|landing_spot_role_review|role_path_review|opportunity_insulation_moderate|steelers_wr_room_watch|organizational_development_path|qb_room_uncertainty|delayed_start_path,Steelers WR depth and role assignment can delay stable weekly volume.|Day 2 capital confirms opportunity but does not eliminate Year 1 usage volatility.|qb_room_uncertainty|steelers_wr_room_watch|delayed_start_path
qb-ty-simpson,Ty Simpson,QB,50.9,56.9,6.0,1,13,Rams,strong,strong,delayed,round1,operator_seeded,talent_confirmation:round1_qb_capital|opportunity_insulation:elite_developmental_environment|opportunity_insulation:delayed_start_insulation|opportunity_insulation:signal_bonus|risk:delayed_start_timeline|risk:opportunity_insulation_cap,round1_qb_capital|elite_developmental_environment|delayed_start_insulation,Delayed initial starting path may suppress early fantasy utility.|Developmental outcomes remain sensitive to eventual deployment timing.,True,mcvay_developmental_environment|efficient_passing_environment|heavy_personnel_role_watch|veteran_depth_chart_block|delayed_start_path|role_specific_usage_dependency,mcvay_developmental_environment|efficient_passing_environment|heavy_personnel_role_watch,veteran_depth_chart_block|delayed_start_path|role_specific_usage_dependency,team_context_joined:LAR,operator_seeded_unknown,LAR,round1_qb_capital|elite_developmental_environment|delayed_start_insulation|mcvay_developmental_environment|efficient_passing_environment|heavy_personnel_role_watch|veteran_depth_chart_block|delayed_start_path|role_specific_usage_dependency,Delayed initial starting path may suppress early fantasy utility.|Developmental outcomes remain sensitive to eventual deployment timing.|veteran_depth_chart_block|delayed_start_path|role_specific_usage_dependency
rb-jadarian-price,Jadarian Price,RB,48.5,56.2,7.7,1,32,Seahawks,strong,strong,strong,round1,operator_seeded,talent_confirmation:round1_rb_capital|opportunity_insulation:signal_bonus,round1_rb_capital|low_tread_efficiency_profile|shared_backfield_context_override|workload_projection_risk|opportunity_insulation_strong,"Never exceeded 125 college touches in a season, increasing workload projection uncertainty.|Shared backfield dynamics could reduce immediate volume capture.",True,round1_rb_commitment|shared_backfield_context|workload_projection_risk,round1_rb_commitment,shared_backfield_context|workload_projection_risk,team_context_joined:SEA,operator_seeded_unknown,SEA,round1_rb_capital|low_tread_efficiency_profile|shared_backfield_context_override|workload_projection_risk|opportunity_insulation_strong|round1_rb_commitment|shared_backfield_context,"Never exceeded 125 college touches in a season, increasing workload projection uncertainty.|Shared backfield dynamics could reduce immediate volume capture.|shared_backfield_context|workload_projection_risk"
